"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"C11,C13,C10";"C_0805_2012Metric";3;"10 uF";;;
2;"R17,R19,R3,R9,R2,R7,R15,R5";"R_0805_2012Metric";8;"100";;;
3;"J12,J7,J6,J11,J10,J13,J8,J2,J14,J3,J9";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";11;"Screw_Terminal_01x02";;;
4;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_PIC_ICSP_ICD";;;
5;"Q6,Q4,Q8,Q2,Q3,Q5,Q7,Q1";"SOT-23";8;"AO3400A";;;
6;"C8,C6,C2,C5,C7";"C_0805_2012Metric";5;"100 nF";;;
7;"L1";"L_Radial_D10.0mm_P5.00mm_Fastron_07M";1;"33 U";;;
8;"C16,C4";"C_0805_2012Metric";2;"100nF";;;
9;"SW2,SW6,SW4,SW5,SW3";"SW_SPDT_CK_JS102011SAQN";5;"SW_SPDT";;;
10;"C9";"CP_Radial_D10.0mm_P5.00mm";1;"680 uF";;;
11;"Y2";"Crystal_HC49-U_Vertical";1;"Crystal";;;
12;"D5,D3,D7,D11,D9,D10,D6,D8,D12";"D_DO-201AD_P15.24mm_Horizontal";9;"D";;;
13;"SW7";"SW_PUSH_6mm";1;"SW_SPST";;;
14;"C14,C17";"C_0805_2012Metric";2;"33pF";;;
15;"C3";"C_0805_2012Metric";1;"4.7 nF";;;
16;"U7";"TO-252-3_TabPin2";1;"LM1117DT-3.3";;;
17;"R8,pull_FC1,pull_INT1,R4,R18,R20,R16,R1,R14,R6,R10";"R_0805_2012Metric";11;"10k";;;
18;"J1,J5";"DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm";2;"DE9_Pins";;;
19;"U9";"Rohm_RPR-0521RS";1;"RPR-0521RS";;;
20;"U2";"TO-263-5_TabPin3";1;"LM2596S-5";;;
21;"U6";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD232";;;
22;"U3";"TO-220-15_P2.54x5.08mm_StaggerOdd_Lead4.58mm_Vertical";1;"L298N";;;
23;"D2";"LED_0805_2012Metric";1;"LED";;;
24;"C1";"CP_Radial_D8.0mm_P3.50mm";1;"220 uF";;;
25;"pull_SCL2,pull_SDA2";"R_0805_2012Metric";2;"4k7";;;
26;"R11";"R_0805_2012Metric";1;"1k";;;
27;"U1";"TQFP-44_10x10mm_P0.8mm";1;"PIC32MX250F128D-IPT";;;
28;"R12,R13";"R_0603_1608Metric";2;"60 Ω";;;
29;"SW1";"SW_Push_1P1T-SH_NO_CK_KMR2xxG";1;"SW_Push";;;
30;"D4,D1";"D_DO-201AD_P15.24mm_Horizontal";2;"1N5822";;;
